id,x,y,z,region_name,region_acronym
2,5425.6144831644515,4672.76363233027,3773.6222525358676,Nucleus accumbens,ACB
6,5425.6144831644515,4572.76363233027,3773.6222525358676,Nucleus accumbens,ACB
10,5451.574361074329,4472.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
23,5486.187531620833,4172.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
31,5425.6144831644515,4572.76363233027,3773.6222525358676,Nucleus accumbens,ACB
36,5451.574361074329,4472.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
68,5538.140824257459,4397.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
77,5486.187531620833,4172.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
90,5468.914483164452,4697.76363233027,3773.6222525358676,Nucleus accumbens,ACB
93,5494.8743610743295,4547.76363233027,3773.6222525358676,Nucleus accumbens,ACB
108,5494.8743610743295,4347.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
113,5538.140824257459,4197.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
115,5538.140824257459,4197.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
120,5538.140824257459,4197.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
121,5538.140824257459,4197.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
127,5520.834238984207,4097.76363233027,3773.6222525358676,Nucleus accumbens,ACB
133,5538.140824257459,4397.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
137,5494.8743610743295,4347.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
145,5520.834238984207,4097.76363233027,3773.6222525358676,Nucleus accumbens,ACB
146,5494.840824257459,4422.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
147,5486.187531620833,4172.76363233027,3773.6222525358676,anterior commissure olfactory limb,aco
148,5468.914483164452,4697.76363233027,3773.6222525358676,Nucleus accumbens,ACB
149,5494.8743610743295,4497.76363233027,3773.6222525358676,Nucleus accumbens,ACB
